rep,seed,true_att,att_naive,se_naive,ci_lo_naive,ci_hi_naive,att_cluster_psu,se_cluster_psu,ci_lo_cluster_psu,ci_hi_cluster_psu,att_survey,se_survey,ci_lo_survey,ci_hi_survey,covers_naive,covers_cluster_psu,covers_survey,deff_ratio,elapsed_s
0,462651,2.0,1.988613185813575,0.011725550894639277,1.9656315283611905,2.0115948432659594,1.992655859739925,0.05575008285211196,1.8798906733636611,2.105421046116189,1.992655859739925,0.05682809826692507,1.877288686900851,2.1080230325789993,1,1,1,23.488740689097792,1.3336
1,463651,2.0,2.0265446362363546,0.011536040980986898,2.003934411389442,2.049154861083267,2.0265875587809363,0.04527056471011414,1.935019198596852,2.1181559189650208,2.0265875587809363,0.046113009731142275,1.9329731721302592,2.1202019454316137,0,1,1,15.978402520592056,1.4116
2,464651,2.0,2.007231094646416,0.012034360371511876,1.9836441817412767,2.0308180075515554,1.9976558367262893,0.05898574665628094,1.8783459025530411,2.1169657708995375,1.9976558367262893,0.060302589513698074,1.8752350716605048,2.1200766017920736,1,1,1,25.108796637457473,1.299
3,465651,2.0,1.9863417293070642,0.011680250854246784,1.9634488583023473,2.009234600311781,1.9747899614919144,0.05403120962506484,1.865501524384693,2.084078398599136,1.9747899614919144,0.05569320065796105,1.8617267532865505,2.0878531696972784,1,1,1,22.73526466668754,1.0719
4,466651,2.0,2.0895455918722443,0.011497699429102538,2.0670105150861366,2.112080668658352,2.0946174330639997,0.041890254349511005,2.0098863959532136,2.179348470174786,2.0946174330639997,0.04305691921144291,2.007207240006815,2.1820276261211844,0,0,0,14.023744862020774,1.1421
5,467651,2.0,2.097579984202687,0.01115143504715254,2.07572357313433,2.1194363952710438,2.1034350093343193,0.040128492544130555,2.0222674718305433,2.184602546838095,2.1034350093343193,0.039628007278629654,2.0229858775772107,2.183884141091428,0,0,0,12.628243572016133,1.1884
6,468651,2.0,1.9315627684214665,0.012023243289437999,1.907997644596805,1.955127892246128,1.9269112614923483,0.06591494062809843,1.7935857095891314,2.0602368133955653,1.9269112614923483,0.06784967461098608,1.7891690991353795,2.0646534238493173,0,1,1,31.845807696436328,1.1125
7,469651,2.0,2.006387941493432,0.011380103184563778,1.9840833491113372,2.0286925338755264,2.000210558524143,0.045573074708322836,1.9080303141134614,2.0923908029348244,2.000210558524143,0.04623195754206333,1.906354694979467,2.0940664220688188,1,1,1,16.504112125974842,0.9437
8,470651,2.0,1.9236219784623894,0.011690635824889942,1.9007087532892313,1.9465352036355474,1.9162359600326868,0.05345780324140681,1.8081073468111815,2.024364573254192,1.9162359600326868,0.05405749394912312,1.806493412985227,2.0259785070801466,0,1,1,21.381371170443156,1.2689
9,471651,2.0,2.079286039409509,0.011264284926224746,2.057208446642511,2.1013636321765072,2.080840875829529,0.038169848574354986,2.003635069699003,2.1580466819600552,2.080840875829529,0.038815641733353966,2.0020409338065224,2.159640817852536,0,0,0,11.874252694037574,1.0566
10,472651,2.0,2.0020246962896278,0.011512100360710457,1.9794613941962247,2.024587998383031,1.9984639837740203,0.03963065477435377,1.9183034182068235,2.0786245493412174,1.9984639837740203,0.040621418440188184,1.9159981201418197,2.080929847406221,1,1,1,12.450908294679056,1.1067
11,473651,2.0,1.9715612633090622,0.011608724706668376,1.948808580977552,1.9943139456405725,1.9759304548927468,0.04632503208427491,1.8822292331254724,2.069631676660021,1.9759304548927468,0.04712258616103618,1.8802665191275674,2.071594390657926,0,1,1,16.477419924400365,1.3577
12,474651,2.0,1.970760864827545,0.011799653090840401,1.9476339697394311,1.9938877599156588,1.9595669184527325,0.05464733564041724,1.8490322488486592,2.0701015880568057,1.9595669184527325,0.05076861880887115,1.8565011429025238,2.062632694002941,0,1,1,18.511952110918642,1.1883
13,475651,2.0,2.067648013556058,0.011438871691902993,2.0452282370161536,2.0900677900959628,2.0673607376071157,0.04177408823947047,1.9828646686323244,2.151856806581907,2.0673607376071157,0.04211396683902392,1.9818648396371412,2.1528566355770904,0,1,1,13.55457560863548,1.3057
14,476651,2.0,2.01703418016174,0.01136946672003378,1.994750434867047,2.039317925456433,2.019909229192705,0.03622750447264151,1.9466321848403019,2.093186273545108,2.019909229192705,0.03619700652679457,1.94642539926373,2.09339305912168,1,1,1,10.135965476484044,0.9992
15,477651,2.0,2.036301260865506,0.011926998383554842,2.012924773590071,2.059677748140941,2.034319433287907,0.05187950915667433,1.9293832211807378,2.139255645395076,2.034319433287907,0.050507036503682795,1.931784698049351,2.1368541685264626,0,1,1,17.93252534595416,1.2635
16,478651,2.0,2.0678280597619216,0.011587926753295404,2.0451161406699745,2.0905399788538688,2.0625105921052342,0.053567105797172866,1.9541608935966441,2.1708602906138244,2.0625105921052342,0.0529491248564165,1.9550181539403058,2.1700030302701627,0,1,1,20.878826731107473,1.2238
17,479651,2.0,1.9234973223728977,0.011815167561585075,1.900340019480885,1.9466546252649104,1.9198354962428523,0.05512807508454743,1.8083284393302335,2.031342553155471,1.9198354962428523,0.05303282990134929,1.8121731278025712,2.0274978646831334,0,1,1,20.14697438402273,1.1241
18,480651,2.0,1.9442102493234208,0.011735381918454751,1.9212093234184269,1.9672111752284147,1.9516534417018438,0.05588040757791159,1.8386246486860487,2.064682234717639,1.9516534417018438,0.05744734626405442,1.8350291285942442,2.0682777548094435,0,1,1,23.963237238101307,1.1019
19,481651,2.0,1.9141599741816449,0.011723780494753502,1.8911817866492748,1.9371381617140149,1.9216946321255997,0.05476498710213018,1.8109219899781905,2.0324672742730088,1.9216946321255997,0.054334088295447516,1.8113905687027576,2.0319986955484417,0,1,1,21.47877018849482,1.1969
20,482651,2.0,1.9812255924583573,0.011346982190970595,1.9589859160308376,2.003465268885877,1.984265271297688,0.03963643717954931,1.9040930097120061,2.0644375328833697,1.984265271297688,0.04048128539896484,1.9020838928634847,2.0664466497318914,1,1,1,12.727638798970304,1.1497
21,483651,2.0,2.024286630096511,0.012146546087224723,2.0004798372289945,2.0480934229640275,2.030935068791452,0.06913127860349381,1.8911038592696334,2.1707662783132706,2.030935068791452,0.06958426193970757,1.8896715069462031,2.172198630636701,0,1,1,32.81832757920207,1.2295
22,484651,2.0,1.9217672836097364,0.011846143482349256,1.8985492690286379,1.9449852981908349,1.9150113450316706,0.05492117074190627,1.8039227916542282,2.026099898409113,1.9150113450316706,0.05556579645031966,1.802206781118332,2.0278159089450094,0,1,1,22.001946797477117,1.117
23,485651,2.0,1.9543395370973202,0.01146148251481683,1.9318754441588437,1.9768036300357967,1.9465088168259626,0.045822747197843225,1.8538235621377452,2.03919407151418,1.9465088168259626,0.04606464473291307,1.8529926163416404,2.0400250173102847,0,1,1,16.153024796528126,1.2283
