rep,seed,true_att,att_naive,se_naive,ci_lo_naive,ci_hi_naive,att_cluster_psu,se_cluster_psu,ci_lo_cluster_psu,ci_hi_cluster_psu,att_survey,se_survey,ci_lo_survey,ci_hi_survey,covers_naive,covers_cluster_psu,covers_survey,deff_ratio,elapsed_s
0,194924,2.0,2.738534509671818,0.07133342905256895,2.5987235578350396,2.8783454615085966,2.70971830849574,0.09531054400624865,2.516934536550537,2.9025020804409434,2.70971830849574,0.08872014051013997,2.5296068478506206,2.8898297691408596,0,0,0,1.5468857514073846,0.0569
1,195924,2.0,2.5105092218922547,0.07284543235520789,2.3677347980377985,2.653283645746711,2.504262445197685,0.07955115717834761,2.3433550418946245,2.665169848500746,2.504262445197685,0.07744994823617954,2.3470306912408385,2.661494199154532,0,0,0,1.130414222674615,0.0794
2,196924,2.0,2.549034070016168,0.07356767304376605,2.4048440804239686,2.693224059608368,2.548943378728281,0.08840922818750953,2.3701188356259477,2.7277679218306146,2.548943378728281,0.08781706583071919,2.370665257149656,2.7272215003069062,0,0,0,1.4248980940361156,0.0656
3,197924,2.0,2.501383232432304,0.07540622466874441,2.353589747871429,2.6491767169931792,2.4749403228358635,0.08919846573074164,2.2945193961210824,2.6553612495506447,2.4749403228358635,0.08843457907721193,2.295408582719734,2.654472062951993,0,0,0,1.3754025674432087,0.1651
4,198924,2.0,2.5359837044722653,0.07546790811692217,2.3880693225745198,2.683898086370011,2.539595101202143,0.09809228361585459,2.3411847298066832,2.7380054725976026,2.539595101202143,0.09759126571238737,2.3414742989514394,2.7377159034528464,0,0,0,1.6722348776319413,0.1183
5,199924,2.0,2.6083460053342242,0.07171229584514184,2.467792488229065,2.7488995224393835,2.6027683093906537,0.07787675117600376,2.445247711904989,2.7602889068763186,2.6027683093906537,0.07712939240617406,2.446187318365748,2.7593493004155594,0,0,0,1.1567847837896863,0.1257
6,200924,2.0,2.5181545003718715,0.07398594295995753,2.37314471680812,2.663164283935623,2.4841347914163836,0.07866915381116922,2.3250114083155564,2.643258174517211,2.4841347914163836,0.07410821561297293,2.3336871153520016,2.6345824674807656,0,0,0,1.003308025413786,0.1246
7,201924,2.0,2.513230137487361,0.07694530009163952,2.362420120528121,2.6640401544466012,2.504429044308269,0.10905299101661738,2.2838485495761067,2.7250095390404314,2.504429044308269,0.11223687827725864,2.2765760678755376,2.7322820207410006,0,0,0,2.1276831888759427,0.0323
8,202924,2.0,2.4914182100290843,0.07514050361032724,2.344145529172641,2.6386908908855276,2.493637322226125,0.07749896161032101,2.3368808762646514,2.6503937681875986,2.493637322226125,0.07937488506473805,2.3324977387522408,2.6547769057000092,0,0,0,1.11588134160937,0.108
9,203924,2.0,2.551104555558185,0.06972304142149914,2.414449905479452,2.6877592056369175,2.530898338331851,0.08290074726613546,2.3632157495723765,2.6985809270913257,2.530898338331851,0.08121538978592281,2.366022331631507,2.695774345032195,0,0,0,1.3568255691161568,0.1001
10,204924,2.0,2.5374699957565783,0.08007945098011439,2.380517155933813,2.6944228355793434,2.539876603800421,0.10091578308589216,2.3357551656641875,2.743998041936654,2.539876603800421,0.10149132193239013,2.3338382664968678,2.745914941103974,0,0,0,1.6062592607072788,0.0322
11,205924,2.0,2.515923493303132,0.07506926452888353,2.36879043848061,2.663056548125654,2.5185074387410316,0.11048674392048041,2.295026905028649,2.741987972453414,2.5185074387410316,0.10954975540231598,2.296109611760904,2.740905265721159,0,0,0,2.129602276803358,0.1231
12,206924,2.0,2.5904408265683485,0.08051569361729054,2.4326329668881974,2.7482486862484996,2.583542879107534,0.1336248477390105,2.313261112894543,2.853824645320525,2.583542879107534,0.12949757366376088,2.32064882812355,2.8464369300915178,0,0,0,2.5867960281799762,0.0843
13,207924,2.0,2.47676956424472,0.07561763533097562,2.328561722399924,2.6249774060895157,2.4816434942825927,0.08348532005658511,2.312778495447775,2.6505084931174103,2.4816434942825927,0.08335804778701882,2.312417660586695,2.6508693279784903,0,0,0,1.2152031472840534,0.0321
14,208924,2.0,2.595071137920021,0.07466907751482593,2.4487224352321326,2.7414198406079096,2.575994009222807,0.08769310365227154,2.398617964715515,2.7533700537300994,2.575994009222807,0.0826829188862894,2.408138760060871,2.7438492583847434,0,0,0,1.22616814035546,0.1847
15,209924,2.0,2.631071140234972,0.07984732492923399,2.474573259111806,2.787569021358138,2.5794226891303795,0.11881509487630422,2.3390964755607726,2.8197489026999865,2.5794226891303795,0.10208086252687804,2.372187520791931,2.786657857468828,0,0,0,1.6344360026930436,0.1234
16,210924,2.0,2.439737954245173,0.07368777794230878,2.295312563377463,2.5841633451128834,2.416158039989775,0.10368160343916824,2.206442202138517,2.6258738778410327,2.416158039989775,0.1036375990120854,2.2057625285705105,2.6265535514090392,0,0,0,1.9780796042916977,0.1164
17,211924,2.0,2.698654987512093,0.07434348456306498,2.552944435283276,2.8443655397409096,2.705875424919729,0.0957880938245592,2.5121257172931637,2.8996251325462943,2.705875424919729,0.09528892668255343,2.512428619387012,2.899322230452446,0,0,0,1.6428542821476193,0.1009
18,212924,2.0,2.5050963590684625,0.07654654312967907,2.3550678913932495,2.6551248267436756,2.503349795049492,0.07084084388172693,2.3600606633621815,2.6466389267368027,2.503349795049492,0.07268151761438689,2.355798469903258,2.650901120195726,0,0,0,0.9015645127426156,0.1013
19,213924,2.0,2.597696249024235,0.07557657307264114,2.449568887726899,2.745823610321571,2.6094548699814886,0.09373785250996855,2.41985216684583,2.799057573117147,2.6094548699814886,0.0940976901819121,2.4184264031131444,2.8004833368498327,0,0,0,1.5501850166656184,0.0629
20,214924,2.0,2.5348963801811384,0.07451368112643968,2.3888522488178148,2.680940511544462,2.5065098792774214,0.08146871374546923,2.341723851717387,2.671295906837456,2.5065098792774214,0.07796160898827917,2.3482393987711627,2.66478035978368,0,0,0,1.094685963176688,0.1102
21,215924,2.0,2.754012741003165,0.07706667122475624,2.6029648409942534,2.9050606410120765,2.751296763747175,0.10616439328066284,2.5365590094271666,2.966034518067183,2.751296763747175,0.106633320867184,2.534819613639042,2.9677739138553076,0,0,0,1.9144880847182253,0.0754
22,216924,2.0,2.621262391782175,0.07568810006143845,2.4729164416034917,2.769608341960858,2.627867454589107,0.09733696570131913,2.430984857881119,2.824750051297095,2.627867454589107,0.09150286363544692,2.442106765665176,2.813628143513038,0,0,0,1.461551639048315,0.1089
23,217924,2.0,2.6648493746970345,0.07137407198139337,2.524958764183534,2.804739985210535,2.669477340697465,0.08425295384056468,2.4990596559778786,2.8398950254170514,2.669477340697465,0.08214276873667474,2.5027186546367073,2.8362360267582227,0,0,0,1.3245175755631118,0.0916
24,218924,2.0,2.633700479249048,0.07861357572442673,2.4796207021332597,2.7877802563648366,2.6129600586715274,0.10366751497402597,2.40327271743079,2.8226473999122645,2.6129600586715274,0.10226676724987213,2.4053474836810294,2.8205726336620254,0,0,0,1.6922867509872865,0.0952
25,219924,2.0,2.65398743974172,0.07716028353360056,2.5027560629789636,2.805218816504476,2.6354804762845463,0.11436233207004495,2.4041608256122373,2.8668001269568553,2.6354804762845463,0.11678124746726602,2.3984019399302845,2.872559012638808,0,0,0,2.2906492317416363,0.0777
