rep,seed,true_att,att_naive,se_naive,ci_lo_naive,ci_hi_naive,att_cluster_psu,se_cluster_psu,ci_lo_cluster_psu,ci_hi_cluster_psu,att_survey,se_survey,ci_lo_survey,ci_hi_survey,covers_naive,covers_cluster_psu,covers_survey,deff_ratio,elapsed_s
0,91696,2.0,2.038318948320117,0.057485579027809194,1.92564928379518,2.150988612845054,2.022879700971796,0.08602002220495422,1.8488877831164743,2.1968716188271173,2.022879700971796,0.08163356766995632,1.8571547480336568,2.188604653909935,1,1,1,2.016599865152497,0.2021
1,92696,2.0,2.112073985535342,0.058767818498188844,1.996891177828905,2.2272567932417786,2.1148496264568517,0.07244633027262365,1.9683130920244316,2.261386160889272,2.1148496264568517,0.070809918380217,1.9710978497544136,2.25860140315929,1,1,1,1.4518075419564447,0.3162
2,93696,2.0,1.9654852432948533,0.05698753063822891,1.8537917356760518,2.077178750913655,2.0079973805784,0.08144071556602107,1.8432679846817126,2.1727267764750873,2.0079973805784,0.08262290146622107,1.8402639732567776,2.1757307879000223,1,1,1,2.1020411161989863,0.2128
3,94696,2.0,1.9836203237808756,0.0565387267338832,1.8728064556507127,2.0944341919110387,1.9613984704776173,0.07918450610955179,1.8012326889622314,2.121564251993003,1.9613984704776173,0.07813643697432607,1.8027730702908047,2.1200238706644297,1,1,1,1.9099199242129525,0.2791
4,95696,2.0,2.0376131176649164,0.05618513586005889,1.927492274912711,2.1477339604171215,2.045723369491833,0.08244591497662047,1.8789607658744998,2.2124859731091657,2.045723369491833,0.08415764755431741,1.8748742619689152,2.2165724770147506,1,1,1,2.2435941745804104,0.193
5,96696,2.0,1.9539854875299079,0.057263466379964115,1.841751155795258,2.0662198192645578,1.9296922513658008,0.07067827288138438,1.7867319505647443,2.0726525521668573,1.9296922513658008,0.0725137720491371,1.7824814678215095,2.0769030349100923,1,1,1,1.6035618887851335,0.2419
6,97696,2.0,1.9693800950220008,0.05458550247891144,1.8623944760853126,2.076365713958689,2.0166759568468127,0.0736120312659575,1.8677815695996984,2.165570344093927,2.0166759568468127,0.07410439770954456,1.8662360315384496,2.1671158821551755,1,1,1,1.8430339644984932,0.1083
7,98696,2.0,2.0326869190318217,0.05589656902497094,1.9231316568835215,2.142242181180122,2.042652253507184,0.071072391994919,1.898894771553768,2.1864097354606002,2.042652253507184,0.07209822331382279,1.8962850787450287,2.189019428269339,1,1,1,1.6637145804285451,0.2862
8,99696,2.0,1.9937963823824814,0.055924680089275064,1.884186023560578,2.1034067412043846,2.011459930182718,0.0665866490225595,1.8767757198091122,2.1461441405563235,2.011459930182718,0.06840066203465989,1.8725992038885826,2.150320656476853,1,1,1,1.4959379970746445,0.2344
9,100696,2.0,1.9634754448260274,0.05644952315525186,1.852836412497274,2.074114477154781,1.9574319752190679,0.08553674952483888,1.7844175686257175,2.130446381812418,1.9574319752190679,0.0844881102027143,1.7859119928536489,2.1289519575844866,1,1,1,2.240116664543754,0.2491
10,101696,2.0,1.951336191879958,0.05623393509150397,1.8411197043916472,2.061552679368269,1.9583855931978622,0.07502653006535208,1.8066301120728094,2.110141074322915,1.9583855931978622,0.07585296700411116,1.8043958835015046,2.11237530289422,1,1,1,1.8194838094551888,0.1822
11,102696,2.0,2.0456151423547384,0.05823183632150589,1.9314828404109554,2.1597474442985214,2.0634771316749303,0.07841807256873717,1.9048616083233618,2.2220926550264988,2.0634771316749303,0.0783829422728738,1.9043512991271803,2.2226029642226806,1,1,1,1.8118496312994317,0.291
