rep,seed,true_att,att_naive,se_naive,ci_lo_naive,ci_hi_naive,att_cluster_psu,se_cluster_psu,ci_lo_cluster_psu,ci_hi_cluster_psu,att_survey,se_survey,ci_lo_survey,ci_hi_survey,covers_naive,covers_cluster_psu,covers_survey,deff_ratio,elapsed_s
0,463177,2.0,2.054549599157414,0.029074626117998423,1.9975643791021696,2.1115348192126584,2.0326216053574124,0.06931422453262087,1.892420352765891,2.172822857948934,2.0326216053574124,0.06518289304721644,1.9002932973959643,2.1649499133188606,1,1,1,5.026190984319351,0.353
1,464177,2.0,1.9290147978032857,0.03267291613997869,1.86497705889903,1.9930525367075413,1.9211745642469467,0.06339939329733811,1.7929371870885813,2.049411941405312,1.9211745642469467,0.06434051217957615,1.7905563803635014,2.051792748130392,0,1,1,3.87786987024802,0.3353
2,465177,2.0,1.9625008197289822,0.028791989147861775,1.906069557955905,2.0189320815020593,1.9737296434533205,0.049825489612156736,1.8729480780284251,2.074511208878216,1.9737296434533205,0.0456306904789167,1.8810944169405344,2.066364869966107,1,1,1,2.511717208861834,0.3298
3,466177,2.0,1.827629234901813,0.02943047804711234,1.7699465578816762,1.88531191192195,1.8469419394140572,0.0501371017970921,1.7455300788521202,1.9483537999759941,1.8469419394140572,0.04576704412257573,1.754029900288233,1.9398539785398814,0,0,0,2.418305121179466,0.3038
4,467177,2.0,1.9653997208884613,0.030892172981813265,1.904852174439926,2.0259472673369965,1.9783110468549319,0.06060889924173931,1.855717976685243,2.100904117024621,1.9783110468549319,0.06054074968065365,1.8554067909460175,2.1012153027638463,1,1,1,3.8405964227936042,0.3101
5,468177,2.0,2.0254888294931637,0.03299627227316813,1.9608173242136766,2.090160334772651,2.0294690899362213,0.06942209849597644,1.889049641658512,2.1698885382139306,2.0294690899362213,0.06474518199726001,1.8980293826475725,2.16090879722487,1,1,1,3.8502165353701425,0.3895
6,469177,2.0,2.1608345497871073,0.03164413852012553,2.0988131779658645,2.22285592160835,2.14602501957057,0.06313009490393758,2.0183323498273165,2.2737176893138233,2.14602501957057,0.06047419718711648,2.02325587240643,2.26879416673471,0,0,0,3.652192577366801,0.3434
7,470177,2.0,1.9073842618932528,0.03835917413888308,1.8322016621043418,1.982566861682164,1.9209561229569956,0.06052726286817809,1.7985281779388536,2.0433840679751376,1.9209561229569956,0.055478532596633975,1.8083287140848738,2.0335835318291173,0,1,1,2.0917579788334044,0.303
8,471177,2.0,2.150940704803303,0.029944815310591087,2.092249945270841,2.2096314643357653,2.153552725557429,0.07136186276320579,2.0092097337093833,2.297895717405475,2.153552725557429,0.072997245661095,2.0053604384004022,2.301745012714456,0,0,0,5.942506555342512,0.3711
9,472177,2.0,2.063835921170175,0.028673252304674175,2.0076373793333833,2.1200344630069665,2.0510833058682247,0.0520690121124654,1.945763787853057,2.1564028238833925,2.0510833058682247,0.0507181211363634,1.948120046043332,2.1540465656931174,0,1,1,3.128761081801484,0.3743
