rep,seed,true_att,att_naive,se_naive,ci_lo_naive,ci_hi_naive,att_cluster_psu,se_cluster_psu,ci_lo_cluster_psu,ci_hi_cluster_psu,att_survey,se_survey,ci_lo_survey,ci_hi_survey,covers_naive,covers_cluster_psu,covers_survey,deff_ratio,elapsed_s
0,443463,2.0,2.045475422612199,0.11585781670597742,1.8183982745410403,2.272552570683358,1.945636253595556,0.13918524951728806,1.6641075131938865,2.2271649939972256,1.945636253595556,0.14316817477960836,1.6549894069023423,2.2362831002887695,1,1,1,1.5270114595726703,0.1044
1,444463,2.0,1.9426818227978448,0.10894410788562213,1.7291552950141793,2.1562083505815104,1.918586801299267,0.1257039496630592,1.6643265637030393,2.172847038895495,1.918586801299267,0.12581052331970627,1.663177860450607,2.1739957421479272,1,1,1,1.3336026317430907,0.0701
2,445463,2.0,1.9737158486852864,0.11270927098594553,1.7528097368290678,2.1946219605415047,1.9412328169995754,0.12893335140682696,1.6804404978190777,2.2020251361800733,1.9412328169995754,0.1260012761450055,1.685436627327939,2.1970290066712117,1,1,1,1.2497714688836645,0.1092
3,446463,2.0,2.0687222645673833,0.11366048754264177,1.845951802518542,2.291492726616225,2.085530705302478,0.16563247210373985,1.7505074079150016,2.4205540026899546,2.085530705302478,0.1684463221986718,1.7435664911223427,2.4274949194826134,1,1,1,2.1963625862581657,0.0851
4,447463,2.0,1.8402207355021578,0.11662679224409724,1.6116364230712918,2.0688050479330236,1.894512827755775,0.15101640528397994,1.5890533160112774,2.1999723395002726,1.894512827755775,0.15111508523085315,1.5877328951503937,2.2012927603611563,1,1,1,1.6788773860732977,0.0645
5,448463,2.0,1.8894149406717529,0.10930722513817408,1.6751767161509203,2.1036531651925854,1.8532053219469269,0.14447036423792156,1.5609864279884795,2.1454242159053742,1.8532053219469269,0.13707463804298173,1.5749290124938238,2.13148163140003,1,1,1,1.572593501056321,0.1573
6,449463,2.0,1.784805204300043,0.11232335743210856,1.5646554691104908,2.004954939489595,1.8049005775666098,0.134635753689934,1.5325740610656746,2.077227094067545,1.8049005775666098,0.13525060488832125,1.5303272522821743,2.079473902851045,1,1,1,1.4499007664804373,0.065
7,450463,2.0,2.143712040052796,0.11237407153780707,1.9234629070425666,2.3639611730630254,2.1424525981830587,0.11558663295182703,1.9086565652337764,2.376248631132341,2.1424525981830587,0.11776913181437446,1.9033685499835373,2.38153664638258,1,1,1,1.0983246076120627,0.0683
8,451463,2.0,2.031709997659644,0.1130623077518933,1.8101119464569493,2.2533080488623387,2.0058309986808327,0.10118286849497321,1.8011693293127768,2.2104926680488886,2.0058309986808327,0.09767357011980879,1.8075431096000931,2.204118887761572,1,1,1,0.746308576991711,0.0273
9,452463,2.0,2.0343791088064123,0.11268898105524623,1.813512764483613,2.2552454531292114,2.0102530715274374,0.14520620185314573,1.7165458055060545,2.30396033754882,2.0102530715274374,0.1428002023433262,1.7203532485944977,2.300152894460377,1,1,1,1.6058121578233908,0.1639
