rep,seed,true_att,att_naive,se_naive,ci_lo_naive,ci_hi_naive,att_cluster_psu,se_cluster_psu,ci_lo_cluster_psu,ci_hi_cluster_psu,att_survey,se_survey,ci_lo_survey,ci_hi_survey,covers_naive,covers_cluster_psu,covers_survey,deff_ratio,elapsed_s
0,785636,2.0,1.943325983942131,0.028403582957235666,1.8876559843140535,1.9989959835702087,1.9415805469507528,0.056470217737846905,1.8273587502799111,2.0558023436215946,1.9415805469507528,0.05779265183238955,1.824255226271207,2.0589058676302985,0,1,1,4.139987125238864,0.7266
1,786636,2.0,1.9724900836665287,0.02789374010797244,1.9178193576607823,2.027160809672275,1.9539901730950777,0.05247108460704086,1.8478573866959356,2.06012295949422,1.9539901730950777,0.049377572116496245,1.8537483724636257,2.0542319737265298,1,1,1,3.1336173533946723,0.7571
2,787636,2.0,2.077128412329271,0.02801614657852746,2.022217774049762,2.1320390506087796,2.108475914247739,0.0633675730701719,1.9803028995739365,2.2366489289215417,2.108475914247739,0.06519016363065251,1.9761328462172143,2.240818982278264,0,1,1,5.414362640860669,0.6719
3,788636,2.0,2.043044212336514,0.0284516741663958,1.9872799556705094,2.098808469002518,2.0231494146378743,0.04926843023104237,1.9234946081650803,2.1228042211106684,2.0231494146378743,0.04873412431101651,1.924213882497742,2.1220849467780067,1,1,1,2.933936301366665,0.8512
4,789636,2.0,2.1073959182122692,0.02852859732377379,2.051480894928227,2.1633109414963116,2.111067297137998,0.051410779293505474,2.0070791806690105,2.2150554136069855,2.111067297137998,0.044280212460477156,2.0211736867573737,2.2009609075186223,0,0,0,2.409120670153275,0.7466
5,790636,2.0,2.019182370995532,0.028113070625284814,1.9640817650751428,2.0742829769159212,2.030223091113502,0.06535793427738557,1.898024190898275,2.162421991328729,2.030223091113502,0.062111758844318,1.9041295170460786,2.1563166651809254,1,1,1,4.881250410828758,0.7406
6,791636,2.0,2.0293561261790174,0.028331299487503445,1.9738277995482925,2.0848844528097423,2.031123492716534,0.05509061453683792,1.9196922069136266,2.142554778519441,2.031123492716534,0.05628334462393967,1.9168622285670276,2.14538475686604,1,1,1,3.946633561541022,0.6986
7,792636,2.0,2.0079078347946115,0.02854762296976546,1.951955521929643,2.06386014765958,2.020368747176389,0.042292985114229166,1.9348231102045879,2.1059143841481904,2.020368747176389,0.041992851100859686,1.9351187272266979,2.1056187671260806,1,1,1,2.1637686257418403,0.7142
8,793636,2.0,2.1236247483585893,0.028807038974225103,2.0671639894678666,2.180085507249312,2.1307701898286484,0.04547310405302008,2.038792155154718,2.222748224502579,2.1307701898286484,0.043333802531850166,2.0427978937475046,2.218742485909792,0,0,0,2.2628530906052737,0.6792
9,794636,2.0,2.0678917640913905,0.02799626740392146,2.013020088278152,2.122763439904629,2.0692738471961065,0.05908644425072756,1.9497602329129016,2.1887874614793112,2.0692738471961065,0.05935348568518466,1.9487798653373198,2.189767829054893,0,1,1,4.494611847337235,0.6733
10,795636,2.0,1.9956830455642451,0.027704560030313338,1.941383105697303,2.0499829854311873,2.004179108388106,0.05321094780772426,1.8965498074108724,2.11180840936534,2.004179108388106,0.05388033744318921,1.894796208167884,2.113562008608328,1,1,1,3.782318515239881,0.7361
11,796636,2.0,2.063870708935919,0.028369394638298028,2.008267717181651,2.119473700690187,2.0944086217868225,0.05920965908590974,1.9746457819752807,2.2141714615983643,2.0944086217868225,0.06064462151902771,1.9712934948353031,2.217523748738342,0,1,1,4.569665834277472,0.7767
12,797636,2.0,2.0422354068482256,0.0286446969429426,1.9860928324919935,2.098377981204458,2.0590477301784462,0.05616547490788568,1.9454423340627134,2.172653126294179,2.0590477301784462,0.05341392551822423,1.950611696504926,2.1674837638519664,1,1,1,3.477126807814904,0.7213
13,798636,2.0,2.006566253992126,0.02901128783818317,1.949705174684162,2.0634273333000896,1.9905485049582174,0.05201137188373959,1.885345575310322,2.095751434606113,1.9905485049582174,0.04831381152272758,1.8924662531419354,2.0886307567744993,1,1,1,2.773374930858152,0.6062
14,799636,2.0,1.9616695537659086,0.028160813454485633,1.9064753736197657,2.0168637339120514,1.960464245984801,0.04879620412962324,1.8617646069595517,2.05916388501005,1.960464245984801,0.049210544067931745,1.86056153031898,2.060366961650622,1,1,1,3.0536969953933903,0.8475
15,800636,2.0,1.9049056702403993,0.028988619563281144,1.848089019934835,1.9617223205459635,1.8969737024223738,0.03865492155065359,1.8187867435871334,1.9751606612576142,1.8969737024223738,0.03702933440093261,1.8218001570772073,1.9721472477675404,0,0,0,1.6316865809634975,0.706
16,801636,2.0,2.0088677411420446,0.028298797641266242,1.9534031169593757,2.0643323653247134,2.0335979439999523,0.05464956167573465,1.923058771814455,2.14413711618545,2.0335979439999523,0.054753247925660366,1.9224429412886126,2.144752946711292,1,1,1,3.74355144250922,0.7393
17,802636,2.0,1.946838683791246,0.02836970113740558,1.891235091309766,2.002442276272726,1.9327000229763047,0.05592780214666768,1.8195753653966276,2.045824680555982,1.9327000229763047,0.05431716264035769,1.8224303204600512,2.0429697254925583,1,1,1,3.6657650807859117,0.7477
18,803636,2.0,2.0404629448001472,0.0277957683714569,1.9859842398694743,2.09494164973082,2.043722639120033,0.05334140631813416,1.9358294608983517,2.151615817341715,2.043722639120033,0.05442076572286862,1.933242611164583,2.154202667075483,1,1,1,3.833292226912654,0.7459
19,804636,2.0,2.0278778075322674,0.028504470189860593,1.972010072561745,2.0837455425027898,2.0436951755789443,0.06250437742167524,1.917268138905571,2.1701222122523176,2.0436951755789443,0.06262685451911988,1.9165559016982983,2.1708344494595906,1,1,1,4.827199551966712,0.7341
20,805636,2.0,1.9074727474731377,0.028031122153596686,1.8525327576058452,1.96241273734043,1.906813736408406,0.045010222210953583,1.8157719686334732,1.9978555041833386,1.906813736408406,0.04402955042396326,1.8174289970154198,1.996198475801392,0,0,0,2.4672180523256277,0.7769
21,806636,2.0,2.019332437954642,0.028339330467021192,1.9637883708933015,2.074876505015982,2.0381090207250785,0.06121721799172969,1.9142855097432958,2.161932531706861,2.0381090207250785,0.05973775200605123,1.916834936761741,2.1593831046884158,1,1,1,4.443432427210922,0.7022
22,807636,2.0,1.929292799197026,0.02856368459747849,1.8733090061202067,1.9852765922738451,1.9268374133840818,0.0504805656950515,1.824730831514382,2.0289439952537816,1.9268374133840818,0.05205959186249777,1.821150823202548,2.0325240035656154,0,1,1,3.3217967830064556,0.7544
23,808636,2.0,1.9614108929504037,0.028320714661376912,1.9059033121976694,2.016918473703138,1.957165717314526,0.053105911630689444,1.849748872058856,2.0645825625701963,1.957165717314526,0.05344730721474204,1.8486619151942465,2.0656695194348056,1,1,1,3.561584413822879,0.6933
24,809636,2.0,2.0572125664493592,0.02828801336846875,2.001769079052973,2.1126560538457455,2.0361461214251175,0.062375516044218725,1.909979731489869,2.162312511360366,2.0361461214251175,0.06109235422595132,1.9121220487555355,2.1601701940947,0,1,1,4.66411043891034,0.6855
25,810636,2.0,1.9997409626681952,0.028083519117739035,1.9446982766382845,2.054783648698106,2.01529899196819,0.039630320246850675,1.935139103046736,2.0954588808896437,2.01529899196819,0.03952487074197469,1.935059238511837,2.095538745424543,1,1,1,1.9807873825023192,0.6933
26,811636,2.0,1.9409028167492284,0.02817690028013653,1.8856771070041842,1.9961285264942725,1.9267141420737137,0.0635994748672123,1.7980720617406973,2.05535622240673,1.9267141420737137,0.0647259057591523,1.795313567628874,2.058114716518553,0,1,1,5.276790391434923,0.6725
27,812636,2.0,1.9568817710899031,0.02814805854360815,1.9017125901097063,2.0120509520701,1.9507592340150197,0.04695470870937116,1.8557843710556037,2.045734096974436,1.9507592340150197,0.04676373997640727,1.855823794734278,2.0456946732957615,1,1,1,2.7600794448505064,0.6828
28,813636,2.0,1.9073560811351966,0.028430337846692303,1.8516336428873736,1.9630785193830196,1.9127153874060678,0.044091976960417896,1.8235309459617606,2.0018998288503753,1.9127153874060678,0.04358838223582523,1.8242262670495126,2.001204507762623,0,1,1,2.3505931172583074,0.7122
29,814636,2.0,1.975126983999122,0.02826526714269216,1.919728078386042,2.030525889612202,1.966953235514066,0.06693797376544168,1.8315584037730481,2.102348067255084,1.966953235514066,0.06763198500120798,1.8296530065598053,2.1042534644683264,1,1,1,5.725297775195378,0.7397
30,815636,2.0,1.9397802922127005,0.028229940380124132,1.8844506257819442,1.9951099586434569,1.9206840912882661,0.04923089947433838,1.8211051979362793,2.0202629846402527,1.9206840912882661,0.048085111873580215,1.8230661244429063,2.018302058133626,0,1,1,2.9013581322302393,0.6616
31,816636,2.0,1.932796002471145,0.02826701248262595,1.8773936760546541,1.988198328887636,1.937868742721744,0.049362267214459604,1.8380241330346283,2.0377133524088595,1.937868742721744,0.04834745240389637,1.839718196285888,2.0360192891576,0,1,1,2.9254142171854647,0.748
32,817636,2.0,1.9739190903853627,0.028511692969509003,1.9180371990268612,2.0298009817438643,1.9777701054722596,0.04867336354020949,1.8793189349918296,2.0762212759526895,1.9777701054722596,0.048242517054092486,1.879832589121994,2.075707621822525,1,1,1,2.8629509456244544,0.7622
33,818636,2.0,1.9830235288283604,0.028310036900207555,1.9275368761029537,2.038510181553767,1.9809749885408396,0.04024743142195206,1.899566874448855,2.062383102632824,1.9809749885408396,0.03665253335276729,1.9065663899909266,2.0553835870907524,1,1,1,1.6762049712960796,0.7164
34,819636,2.0,1.9384812977516663,0.0280466895928188,1.883510796264167,1.9934517992391656,1.9343121623036568,0.0450279770930702,1.8432344818898805,2.0253898427174333,1.9343121623036568,0.04557850726606722,1.841782873344998,2.0268414512623156,0,1,1,2.640930542316881,0.6925
35,820636,2.0,2.015803396362116,0.02778441645474018,1.9613469407793631,2.070259851944869,2.0050639778315364,0.046922666249408614,1.9101539268649423,2.0999740287981306,2.0050639778315364,0.04559073333066682,1.9125098686422026,2.0976180870208703,1,1,1,2.692468282911546,0.6474
36,821636,2.0,2.0026210538350857,0.027786151063714164,1.9481611984812166,2.057080909188955,2.006448469555527,0.05225860958922801,1.9007454544456497,2.1121514846654046,2.006448469555527,0.047274704115904516,1.9104757179241403,2.1024212211869138,1,1,1,2.8946819544194775,0.8214
37,822636,2.0,1.9598958808503717,0.028130932465193593,1.9047602663670637,2.01503149533368,1.9558831458355561,0.06049458263128966,1.833521302835833,2.078244988835279,1.9558831458355561,0.061822664762936956,1.8303764639547548,2.0813898277163574,1,1,1,4.829778180165322,0.6414
38,823636,2.0,1.9861536343703008,0.028442929856670223,1.9304065162364281,2.0419007525041732,1.9682896845346458,0.06168312562645043,1.8435237864105378,2.093055582658754,1.9682896845346458,0.06300301179687452,1.840386770782161,2.096192598287131,1,1,1,4.906524382588664,0.8212
39,824636,2.0,2.0632645589105394,0.028156692697809432,2.008078455299071,2.1184506625220076,2.0425269688763663,0.06394570734307424,1.913184567258202,2.1718693704945307,2.0425269688763663,0.06401027426737509,1.9125792035966893,2.1724747341560433,0,1,1,5.1681617100886585,0.7493
