rep,seed,true_att,att_naive,se_naive,ci_lo_naive,ci_hi_naive,att_cluster_psu,se_cluster_psu,ci_lo_cluster_psu,ci_hi_cluster_psu,att_survey,se_survey,ci_lo_survey,ci_hi_survey,covers_naive,covers_cluster_psu,covers_survey,deff_ratio,elapsed_s
0,9449,2.0,1.9105095271318588,0.057093131357280995,1.7986090459069737,2.022410008356744,1.923904303853686,0.07729678315810751,1.7675568024117316,2.0802518052956405,1.923904303853686,0.07545108872123277,1.7707304504455914,2.0770781572617807,1,1,1,1.7464787075774728,0.1939
1,10449,2.0,1.928947667441906,0.07278889443935452,1.7862840558662834,2.0716112790175285,1.900023277605102,0.08224247715098593,1.7336721658304721,2.066374389379732,1.900023277605102,0.08144551191170808,1.7346800981527357,2.0653664570574684,1,1,1,1.2519992492055398,0.1641
2,11449,2.0,1.9863190897000185,0.054575591787178995,1.8793528953621876,2.093285284037849,1.9637093575229705,0.0698340055037722,1.8224567486806933,2.1049619663652477,1.9637093575229705,0.06448682747399802,1.832794137800295,2.094624577245646,1,1,1,1.3961919063170285,0.1842
3,12449,2.0,1.9563867219613469,0.0530669899799154,1.8523773328327648,2.060396111089929,1.9547813862358363,0.08338114184674084,1.7861271077201364,2.1234356647515362,1.9547813862358363,0.08571008932566926,1.78078065436475,2.1287821181069226,1,1,1,2.6086450264324488,0.1199
4,13449,2.0,1.8138039645242012,0.05292684916129142,1.7100692463528862,1.9175386826955163,1.817838957309899,0.06345694377919969,1.6894851733144285,1.9461927413053695,1.817838957309899,0.06247383417522697,1.6910103312425735,1.9446675833772245,0,0,0,1.393298726883681,0.1676
5,14449,2.0,2.023320842793383,0.06478495342680261,1.8963446673367452,2.150297018250021,2.028844084455856,0.10255154669429535,1.8214140021215788,2.236274166790133,2.028844084455856,0.10004845521593501,1.825734922312787,2.231953246598925,1,1,1,2.3849126267814444,0.0798
6,15449,2.0,1.9428958522992619,0.07340177673222355,1.7990310135028535,2.08676069109567,1.9403656921942658,0.09039023581470094,1.7575341829518887,2.123197201436643,1.9403656921942658,0.09281137217741023,1.7519485897051121,2.1287827946834197,1,1,1,1.598781971659428,0.3199
7,16449,2.0,1.9648646052209082,0.04856180758241313,1.8696852113352143,2.060043999106602,1.9828824897361752,0.07647503205943106,1.8281971367800438,2.1375678426923064,1.9828824897361752,0.07635554912515179,1.827872484091296,2.1378924953810543,1,1,1,2.4722450841051216,0.0563
8,17449,2.0,2.002878168401917,0.068543521603417,1.8685353346856763,2.1372210021181575,2.019917238147879,0.09649769621391756,1.8247322242115225,2.215102252084236,2.019917238147879,0.0941180010231132,1.8288475380797833,2.2109869382159753,1,1,1,1.8854393285452513,0.14
9,18449,2.0,2.04380769660802,0.05808163112748567,1.9299697914348075,2.1576456017812324,2.045377622816631,0.07452376913951747,1.8946390716512131,2.1961161739820487,2.045377622816631,0.07580671279760096,1.8914818141516245,2.1992734314816373,1,1,1,1.703482674572295,0.1472
