rep,seed,true_att,att_naive,se_naive,ci_lo_naive,ci_hi_naive,att_cluster_psu,se_cluster_psu,ci_lo_cluster_psu,ci_hi_cluster_psu,att_survey,se_survey,ci_lo_survey,ci_hi_survey,covers_naive,covers_cluster_psu,covers_survey,deff_ratio,elapsed_s
0,449897,2.0,2.084968122683307,0.046654895176681796,1.993526208434519,2.176410036932095,2.086527869922789,0.06086101877669742,1.9634248398589764,2.209630899986602,2.086527869922789,0.060395491677449585,1.9639185034378213,2.209137236407757,1,1,1,1.6757707526747654,0.0937
1,450897,2.0,1.8627104964879573,0.0459046812326409,1.7727389745501894,1.9526820184257252,1.8671938684185865,0.06189673547694171,1.7419959035894592,1.9923918332477137,1.8671938684185865,0.06286063154104955,1.7395800019522782,1.9948077348848947,0,0,0,1.8751824422118974,0.0694
2,451897,2.0,2.0606038027920177,0.048007250135342454,1.9665113215299408,2.1546962840540944,2.0794315537257235,0.07480604073180816,1.928122054373595,2.230741053077852,2.0794315537257235,0.07579189767512984,1.9255658213583038,2.2332972860931433,1,1,1,2.4924812599132014,0.0966
3,452897,2.0,1.8976952655606223,0.046353082915216934,1.8068448924743983,1.9885456386468463,1.9254909144035732,0.06149479049767912,1.8011059600343549,2.0498758687727916,1.9254909144035732,0.06272224865403556,1.7981579801333263,2.05282384867382,0,1,1,1.8309900804206944,0.1235
4,453897,2.0,1.9337322945430784,0.04792863351116682,1.8397938990329719,2.027670690053185,1.914425358559425,0.08363731341745617,1.7452529241336678,2.0835977929851826,1.914425358559425,0.0814716244151769,1.7490291679067402,2.07982154921211,1,1,1,2.8894997219110126,0.1017
5,454897,2.0,1.9617071586989028,0.048636851717228646,1.8663806810117196,2.057033636386086,1.9869451268169527,0.07066464221800171,1.8440123966349542,2.129877856998951,1.9869451268169527,0.06907438810674328,1.846716663882412,2.1271735897514934,1,1,1,2.01698738789935,0.1553
6,455897,2.0,1.9707691803936416,0.04891529446768583,1.874896964943806,2.0666413958434773,1.9688632194995568,0.07088412436485252,1.825486544772013,2.1122398942271006,1.9688632194995568,0.06701216367266832,1.8328212947384632,2.10490514426065,1,1,1,1.8767997482432304,0.091
7,456897,2.0,1.9727363040487869,0.04832033750072453,1.8780301828265467,2.067442425271027,1.9827531086316146,0.08038345705555341,1.8201622199241818,2.1453439973390473,1.9827531086316146,0.07912139948874075,1.8221281282352595,2.1433780890279697,1,1,1,2.681192542433978,0.1437
8,457897,2.0,2.0387653444559755,0.045253806554679386,1.9500695134454613,2.1274611754664896,2.0250156782433515,0.06533964932574442,1.8928537628337823,2.157177593652921,2.0250156782433515,0.06622631752981949,1.8905691059672403,2.1594622505194625,1,1,1,2.141662251798857,0.0572
9,458897,2.0,2.0611161834448097,0.04558170836461688,1.9717776766963526,2.150454690193267,2.0598667211903328,0.05791545622662511,1.9427216537509517,2.177011788629714,2.0598667211903328,0.055138525082399185,1.9479295642685237,2.171803878112142,1,1,1,1.46328558186334,0.1415
