cell_id,n_valid,n_total,true_att,bias_naive,bias_survey,rmse_naive,rmse_survey,coverage_naive,coverage_survey,mean_se_naive,mean_se_survey,mean_deff,median_deff,reject_naive,reject_survey,bias_cluster_psu,rmse_cluster_psu,coverage_cluster_psu,mean_se_cluster_psu
s1_cs_reg_n500,2000,2000,2.0,-0.0002590946435738761,-0.00039504868262119075,0.06543322163850386,0.06943938326697875,83.3,93.5,0.04645237085771203,0.06698878121193576,2.1099092900153553,2.0446864109396605,100.0,100.0,-0.00039504868262119075,0.06943938326697875,93.85,0.067721035703108
s1_cs_reg_n2000,2000,2000,2.0,0.0028168738815748107,0.00257835343656021,0.052207525419192775,0.05361510209119945,61.75000000000001,94.89999999999999,0.02329011634340593,0.05278382374843277,5.2144812076104685,5.0860086587909095,100.0,100.0,0.00257835343656021,0.05361510209119945,95.05,0.05324684123749407
s1_cs_reg_n8000,2000,2000,2.0,-0.00046467048829623714,-0.0002923202283959814,0.0502283742999308,0.0506097789060852,34.150000000000006,93.7,0.01163865936879159,0.04800905072578181,17.304900883272293,16.7820978699779,100.0,100.0,-0.0002923202283959814,0.0506097789060852,94.25,0.04843832844899603
s1_cs_dr_n500,2000,2000,2.0,0.0003675814792347687,-0.0006345998921732932,0.0669147380292541,0.07089563152390359,82.65,93.30000000000001,0.04672494523044284,0.06678973656698127,2.0741801211363424,2.0102410677602913,100.0,100.0,-0.0006345998921732932,0.07089563152390359,93.55,0.06758385081047663
s1_cs_dr_n2000,2000,2000,2.0,-0.0003196730542296411,-7.657599595312092e-06,0.05422310290436744,0.05557494351030483,61.199999999999996,92.80000000000001,0.023317774240441562,0.052253869126185036,5.1033247343603145,4.9687584782431315,100.0,100.0,-7.657599595312092e-06,0.05557494351030483,93.30000000000001,0.05274886172836074
s1_cs_dr_n8000,2000,2000,2.0,-0.0008696002742210052,-0.000900380776796661,0.049537689880436206,0.050012173529717284,35.0,94.25,0.01164231340335101,0.048110656691967124,17.37337105981435,16.91768118238265,100.0,100.0,-0.000900380776796661,0.050012173529717284,94.69999999999999,0.0485427658005179
s1_sa_n500,2000,2000,2.0,3.5013144161766263e-07,4.1796597504362154e-05,0.06447678214058135,0.06865970415324223,84.1,94.65,0.046475293392618064,0.06710828899071469,2.1158706198541264,2.0509279101230433,100.0,100.0,4.1796597504362154e-05,0.06865970415324223,94.69999999999999,0.06695380323871027
s1_sa_n2000,2000,2000,2.0,0.00019280076636629673,0.00016081973737591682,0.053099982213610786,0.054678548415966706,61.0,93.25,0.023227895446838624,0.052337984805072776,5.157921887904529,4.962897307599729,100.0,100.0,0.00016081973737591682,0.054678548415966706,93.45,0.05206318644036458
s1_sa_n8000,2000,2000,2.0,-0.0006748212751481741,-0.0007544379640311849,0.04903611433154342,0.049173164398501876,34.65,94.39999999999999,0.01162618663531479,0.048145370395102326,17.444125558023952,16.95640139114534,100.0,100.0,-0.0007544379640311849,0.049173164398501876,94.65,0.047881967037020245
s1_twfe_n500,2000,2000,2.0,-1.686127308155089,-1.6860640060724017,1.686145884492062,1.68608571744936,0.0,0.0,0.006296407954211046,0.008312984000518324,1.7701055078622212,1.7097402182280526,100.0,100.0,-1.6860640060724017,1.68608571744936,0.0,0.012699603765963458
s1_twfe_n2000,2000,2000,2.0,-1.6857600851918324,-1.6856958737728602,1.6857728202782118,1.6857093020722729,0.0,0.0,0.0031544453197926976,0.0065728994349957175,4.4140932450173365,4.2966444452001085,100.0,100.0,-1.6856958737728602,1.6857093020722729,0.0,0.011634465899860232
s1_twfe_n8000,2000,2000,2.0,-1.6862492003685259,-1.6862642709165376,1.6862604848756275,1.6862757349324577,0.0,0.0,0.0015776110690952276,0.006019156098007085,14.796472104537633,14.328710006043782,100.0,100.0,-1.6862642709165376,1.6862757349324577,0.0,0.011330330665788335
s2_cs_reg_n500,2000,2000,2.5751577308794023,-0.1933076908316127,0.0015638711013532536,0.32472812805366913,0.2907947874766123,43.55,94.69999999999999,0.10339191915081286,0.2888667218136949,7.928384128638155,7.759240547259827,100.0,100.0,0.0015638711013532536,0.2907947874766123,96.55,0.3167080057816347
s2_cs_reg_n2000,2000,2000,2.5750429662045953,-0.19377639319043194,-0.008858604740438647,0.3290438398971881,0.29414110187826703,22.650000000000002,94.05,0.05167484909292561,0.2839269542182901,30.682415590281284,30.181741171423837,100.0,100.0,-0.008858604740438647,0.29414110187826703,96.2,0.3110496200595452
s2_cs_reg_n8000,2000,2000,2.575080376832432,-0.18296367835473193,0.007918690440032794,0.31845133339797277,0.28693309105541015,11.200000000000001,94.3,0.02592856604450634,0.2846364940301388,122.23192048753207,119.07594600085949,100.0,100.0,0.007918690440032794,0.28693309105541015,96.35000000000001,0.31259619131488864
s2_cs_dr_n500,2000,2000,2.5751372786136524,-0.18752395760626284,0.003641077040690277,0.323451573294602,0.2966785685289914,43.5,94.55,0.10416507682451305,0.2883577197671683,7.784457050272827,7.6071391006816285,100.0,100.0,0.003641077040690277,0.2966785685289914,96.85000000000001,0.3167916332056827
s2_cs_dr_n2000,2000,2000,2.5750039738798294,-0.18178077051078212,0.0024007881170264866,0.3177536409733629,0.2909971904741933,25.4,94.0,0.05188928780297195,0.28339927619418714,30.303240468802688,29.53557496097377,100.0,100.0,0.0024007881170264866,0.2909971904741933,95.89999999999999,0.31180849508153474
s2_cs_dr_n8000,2000,2000,2.575066547988854,-0.1980593699688633,-0.013649991680698914,0.3252031177779805,0.29182605028620523,12.1,94.19999999999999,0.025833001266749235,0.28273621997596127,121.7140402431,120.09685884372716,100.0,100.0,-0.013649991680698914,0.29182605028620523,96.0,0.3106401933879704
s2_sa_n500,2000,2000,2.575068470929297,-0.18965105148054784,0.0016371614577330718,0.32103988842362957,0.29000075391631275,43.15,94.25,0.09795776501407048,0.28084112364715363,8.338512441269966,8.118073879594547,100.0,100.0,0.0016371614577330718,0.29000075391631275,94.69999999999999,0.28335540326874525
s2_sa_n2000,2000,2000,2.5750587651645773,-0.19604012495540246,0.00017930396310728014,0.32743063986355747,0.2948184061314544,20.4,93.0,0.04894696276981082,0.27652571091992734,32.32959071761075,31.58131814598839,100.0,100.0,0.00017930396310728014,0.2948184061314544,93.45,0.2791754270469922
s2_sa_n8000,2000,2000,2.5750506253933754,-0.19082367273502587,0.0035092734632784506,0.31990779344303416,0.28364597252950036,10.299999999999999,94.85,0.024346984591980807,0.27283388655548574,127.20749986359777,125.11295355374966,100.0,100.0,0.0035092734632784506,0.28364597252950036,95.3,0.27536934793876394
s2_twfe_n500,2000,2000,2.5749657893971025,-2.158757247880006,-2.0893831135165253,2.1590185014284575,2.089758225524125,0.0,0.0,0.013219127744051946,0.03860122227828361,8.689028314560808,8.388284801842794,100.0,100.0,-2.0893831135165253,2.089758225524125,0.0,0.04731033960373371
s2_twfe_n2000,2000,2000,2.5750643066196406,-2.1586821117514785,-2.088700847472598,2.158931863296137,2.0890591694638365,0.0,0.0,0.006618852334389577,0.03820724389570015,34.01085428265497,32.91784791335935,100.0,100.0,-2.088700847472598,2.0890591694638365,0.0,0.04702730269406914
s2_twfe_n8000,2000,2000,2.575035132488307,-2.156886523565622,-2.085733101948209,2.157139410608592,2.086078817734591,0.0,0.0,0.003310168456187811,0.0381921808943082,135.73875752227778,130.32589189636747,100.0,100.0,-2.085733101948209,2.086078817734591,0.0,0.0471556932072594
s3_cs_reg_n500,2000,2000,2.0,0.0011861311613596826,-0.0008937175528909158,0.1160110090998514,0.12938097900979115,94.55,94.65,0.1133580398440626,0.12640806080913616,1.266142980040989,1.2232606188867001,100.0,100.0,-0.0008937175528909158,0.12938097900979115,94.89999999999999,0.12789328684146772
s3_cs_reg_n2000,2000,2000,2.0,-0.002302808874061091,-0.0034845117217441324,0.07263284281693859,0.07723869394134937,87.45,94.5,0.05676518129757096,0.07492918851908212,1.7746197679860047,1.7266844830033174,100.0,100.0,-0.0034845117217441324,0.07723869394134937,94.69999999999999,0.07578926582722599
s3_cs_reg_n8000,2000,2000,2.0,-0.0019957672982999775,-0.0017639057715286288,0.05517725999607262,0.05720731925644386,69.55,93.55,0.02839692445627618,0.055253505136980054,3.8687196815386553,3.7570390024215072,100.0,100.0,-0.0017639057715286288,0.05720731925644386,94.1,0.05580295723009399
s4_cs_reg_n500,2000,2000,2.0,0.5803437464766192,0.5686531376837509,0.5884633684500218,0.576730656584417,0.0,0.0,0.07564288807111541,0.09354436948188358,1.549274469745531,1.5288324252845582,100.0,100.0,0.5686531376837509,0.576730656584417,0.0,0.09585644782737064
s4_cs_reg_n2000,2000,2000,2.0,0.5816535788753816,0.5695299949694252,0.586247611831863,0.5741484912274065,0.0,0.0,0.03783992717786633,0.07201263278517102,3.6709904158797455,3.5618077072745473,100.0,100.0,0.5695299949694252,0.5741484912274065,0.0,0.07445891227824879
s4_cs_reg_n8000,2000,2000,2.0,0.5811281553562186,0.5699001431797779,0.5850398390855152,0.5738221330788639,0.0,0.0,0.01895427586549196,0.06588653250825156,12.253969586794492,11.946871679673439,100.0,100.0,0.5699001431797779,0.5738221330788639,0.0,0.06831911286504098
s4_cs_dr_n500,2000,2000,2.0,-0.0019937192770511647,-0.0023559701003692535,0.09332361891278182,0.09306634230049629,82.85,92.7,0.06517191507077047,0.08664095393272501,1.8212519848357447,1.7942502746092899,100.0,100.0,-0.0023559701003692535,0.09306634230049629,93.5,0.08797875515041093
s4_cs_dr_n2000,2000,2000,2.0,-5.989887012614048e-06,0.0001275513986249699,0.0709019577360839,0.07041234057570438,64.64999999999999,94.65,0.03331938287658464,0.0698598598280515,4.518233085271613,4.438705127185395,100.0,100.0,0.0001275513986249699,0.07041234057570438,94.75,0.07075550196852458
