rep,seed,true_att,att_naive,se_naive,ci_lo_naive,ci_hi_naive,att_cluster_psu,se_cluster_psu,ci_lo_cluster_psu,ci_hi_cluster_psu,att_survey,se_survey,ci_lo_survey,ci_hi_survey,covers_naive,covers_cluster_psu,covers_survey,deff_ratio,elapsed_s
0,570340,2.0,2.6262383702277035,0.018923257825679808,2.5891494664192054,2.6633272740362015,2.6409994324078823,0.052253913654080594,2.5353059157233884,2.746692949092376,2.6409994324078823,0.051053689314699335,2.5373549329636815,2.744643931852083,0,0,0,7.278844627980237,0.82
1,571340,2.0,2.573617926813427,0.01920263402260088,2.5359814557208256,2.6112543979060283,2.5623851087923555,0.0584687884383043,2.444120821312647,2.680649396272064,2.5623851087923555,0.05844309131757183,2.443739325757094,2.681030891827617,0,0,0,9.26285252189846,0.6458
2,572340,2.0,2.558480799153974,0.01934975801302656,2.5205559703388767,2.5964056279690713,2.570639162628241,0.07061013437124157,2.427816684972955,2.7134616402835268,2.570639162628241,0.07065954943312211,2.427192651117463,2.714085674139019,0,0,0,13.334927269371644,0.7994
3,573340,2.0,2.5181023191774243,0.018619293067291577,2.4816091753479363,2.5545954630069123,2.506232015045203,0.06889000308790434,2.3668888313179948,2.6455751987724114,2.506232015045203,0.0639676806901054,2.376370719324434,2.6360933107659723,0,0,0,11.803065944767875,0.7842
4,574340,2.0,2.5364535030411566,0.01881575734122123,2.499575296310518,2.573331709771795,2.525852001956768,0.07630400806203166,2.3715125776872847,2.6801914262262514,2.525852001956768,0.07679395003786157,2.3699519951432446,2.6817520087702915,0,0,0,16.657530101723573,0.7225
5,575340,2.0,2.6411028466218776,0.019203694551785756,2.6034642969302695,2.6787413963134856,2.632217761614072,0.07145827327460996,2.487679761100013,2.776755762128131,2.632217761614072,0.06823504283161447,2.49369326017711,2.770742263051034,0,0,0,12.625406145760465,0.8652
6,576340,2.0,2.6204798423372515,0.018911576355658263,2.5834138337892822,2.6575458508852208,2.6154683940311187,0.07419958682814798,2.465385563483345,2.7655512245788927,2.6154683940311187,0.07397711709823099,2.465286862100896,2.7656499259613416,0,0,0,15.301688069617192,0.7549
7,577340,2.0,2.6037877461515895,0.018286622544670242,2.5679466245651574,2.6396288677380215,2.6055356964254988,0.05720152706437833,2.4898346870201435,2.721236705830854,2.6055356964254988,0.05579966026056046,2.4922563637368595,2.718815029114138,0,0,0,9.31099531382494,0.7556
8,578340,2.0,2.585580366523992,0.018738782643200044,2.5488530274291956,2.622307705618788,2.5831520792902256,0.05149946326765771,2.4789845825519676,2.6873195760284836,2.5831520792902256,0.05239053703850665,2.47679363468306,2.689510523897391,0,0,0,7.816691159127426,0.7474
9,579340,2.0,2.631834867290538,0.019072959525548803,2.5944525535418723,2.669217181039204,2.6361860702936855,0.06571652905270128,2.5032618436824547,2.769110296904916,2.6361860702936855,0.0645478864770046,2.5051468942049153,2.7672252463824556,0,0,0,11.453227271489842,0.6856
10,580340,2.0,2.604374958045721,0.019312079280913642,2.566523978188548,2.642225937902894,2.5747219773797467,0.07695741553508946,2.4190609117474255,2.730383043012068,2.5747219773797467,0.07127499083924313,2.4300260533910287,2.7194179013684647,0,0,0,13.621228206118442,0.7289
11,581340,2.0,2.64416904983124,0.018961076021146422,2.6070060237216666,2.681332075940813,2.654665963357016,0.07522599436022868,2.502507027613845,2.806824899100187,2.654665963357016,0.07566429403886905,2.501059280143243,2.808272646570789,0,0,0,15.924140834116718,0.7365
